# x_m,y_m,w_tr_right_m,w_tr_left_m
-11.8800,-0.3800,1.0449,1.0449
-11.8800,-0.3900,1.0404,1.0404
-11.8700,-0.4000,1.0439,1.0439
-11.8700,-0.4100,1.0388,1.0388
-11.8600,-0.4200,1.0424,1.0424
-11.8500,-0.4300,1.0461,1.0461
-11.8400,-0.4400,1.0500,1.0500
-11.8400,-0.4500,1.0453,1.0453
-11.8400,-0.4600,1.0406,1.0406
-11.8300,-0.4700,1.0449,1.0449
-11.8200,-0.4800,1.0493,1.0493
-11.8200,-0.4900,1.0449,1.0449
-11.8100,-0.5000,1.0491,1.0491
-11.8000,-0.5100,1.0525,1.0525
-11.8000,-0.5200,1.0474,1.0474
-11.7900,-0.5300,1.0510,1.0510
-11.7900,-0.5400,1.0461,1.0461
-11.7800,-0.5500,1.0500,1.0500
-11.7700,-0.5600,1.0541,1.0541
-11.7700,-0.5700,1.0495,1.0495
-11.7600,-0.5800,1.0538,1.0538
-11.7600,-0.5900,1.0486,1.0486
-11.7500,-0.6000,1.0511,1.0511
-11.7400,-0.6100,1.0538,1.0538
-11.7400,-0.6200,1.0483,1.0483
-11.7300,-0.6300,1.0512,1.0512
-11.7300,-0.6400,1.0459,1.0459
-11.7200,-0.6500,1.0491,1.0491
-11.7200,-0.6600,1.0439,1.0439
-11.7100,-0.6700,1.0474,1.0474
-11.7100,-0.6800,1.0424,1.0424
-11.7000,-0.6900,1.0461,1.0461
-11.6900,-0.7000,1.0500,1.0500
-11.6900,-0.7100,1.0453,1.0453
-11.6800,-0.7200,1.0495,1.0495
-11.6800,-0.7300,1.0449,1.0449
-11.6700,-0.7400,1.0493,1.0493
-11.6600,-0.7500,1.0539,1.0539
-11.6600,-0.7600,1.0497,1.0497
-11.6500,-0.7700,1.0545,1.0545
-11.6400,-0.7800,1.0595,1.0595
-11.6400,-0.7900,1.0549,1.0549
-11.6300,-0.8000,1.0588,1.0588
-11.6300,-0.8100,1.0541,1.0541
-11.6200,-0.8200,1.0584,1.0584
-11.6100,-0.8300,1.0628,1.0628
-11.6100,-0.8400,1.0583,1.0583
-11.6000,-0.8500,1.0630,1.0630
-11.6000,-0.8600,1.0587,1.0587
-11.5900,-0.8700,1.0636,1.0636
-11.5900,-0.8800,1.0588,1.0588
-11.5800,-0.8900,1.0630,1.0630
-11.5700,-0.9000,1.0673,1.0673
-11.5700,-0.9100,1.0628,1.0628
-11.5600,-0.9200,1.0673,1.0673
-11.5600,-0.9300,1.0628,1.0628
-11.5500,-0.9400,1.0662,1.0662
-11.5400,-0.9500,1.0697,1.0697
-11.5400,-0.9600,1.0647,1.0647
