x,y,w_right,w_left
0.0000,0.0000,1.0449,1.0449
0.0000,-0.0100,1.0404,1.0404
0.0100,-0.0200,1.0439,1.0439
0.0100,-0.0300,1.0388,1.0388
0.0200,-0.0400,1.0424,1.0424
0.0300,-0.0500,1.0461,1.0461
0.0400,-0.0600,1.0500,1.0500
0.0400,-0.0700,1.0453,1.0453
0.0400,-0.0800,1.0406,1.0406
0.0500,-0.0900,1.0449,1.0449
0.0600,-0.1000,1.0493,1.0493
0.0600,-0.1100,1.0449,1.0449
0.0700,-0.1200,1.0491,1.0491
0.0800,-0.1300,1.0525,1.0525
0.0800,-0.1400,1.0474,1.0474
0.0900,-0.1500,1.0510,1.0510
0.0900,-0.1600,1.0461,1.0461
0.1000,-0.1700,1.0500,1.0500
0.1100,-0.1800,1.0541,1.0541
0.1100,-0.1900,1.0495,1.0495
0.1200,-0.2000,1.0538,1.0538
0.1200,-0.2100,1.0486,1.0486
0.1300,-0.2200,1.0511,1.0511
0.1400,-0.2300,1.0538,1.0538
0.1400,-0.2400,1.0483,1.0483
0.1500,-0.2500,1.0512,1.0512
0.1500,-0.2600,1.0459,1.0459
0.1600,-0.2700,1.0491,1.0491
0.1600,-0.2800,1.0439,1.0439
0.1700,-0.2900,1.0474,1.0474
0.1700,-0.3000,1.0424,1.0424
0.1800,-0.3100,1.0461,1.0461
0.1900,-0.3200,1.0500,1.0500
0.1900,-0.3300,1.0453,1.0453
0.2000,-0.3400,1.0495,1.0495
0.2000,-0.3500,1.0449,1.0449
0.2100,-0.3600,1.0493,1.0493
0.2200,-0.3700,1.0539,1.0539
0.2200,-0.3800,1.0497,1.0497
0.2300,-0.3900,1.0545,1.0545
0.2400,-0.4000,1.0595,1.0595
0.2400,-0.4100,1.0549,1.0549
0.2500,-0.4200,1.0588,1.0588
0.2500,-0.4300,1.0541,1.0541
0.2600,-0.4400,1.0584,1.0584
0.2700,-0.4500,1.0628,1.0628
0.2700,-0.4600,1.0583,1.0583
0.2800,-0.4700,1.0630,1.0630
0.2800,-0.4800,1.0587,1.0587
0.2900,-0.4900,1.0636,1.0636
0.2900,-0.5000,1.0588,1.0588
0.3000,-0.5100,1.0630,1.0630
0.3100,-0.5200,1.0673,1.0673
0.3100,-0.5300,1.0628,1.0628
0.3200,-0.5400,1.0673,1.0673
0.3200,-0.5500,1.0628,1.0628
0.3300,-0.5600,1.0662,1.0662
0.3400,-0.5700,1.0697,1.0697
0.3400,-0.5800,1.0647,1.0647
0.3500,-0.5900,1.0685,1.0685
0.3500,-0.6000,1.0636,1.0636
0.3600,-0.6100,1.0676,1.0676
0.3700,-0.6200,1.0718,1.0718
0.3700,-0.6300,1.0673,1.0673
0.3800,-0.6400,1.0717,1.0717
0.3900,-0.6500,1.0763,1.0763
0.3900,-0.6600,1.0720,1.0720
0.4000,-0.6700,1.0769,1.0769
0.4000,-0.6800,1.0727,1.0727
0.4100,-0.6900,1.0766,1.0766
0.4200,-0.7000,1.0799,1.0799
0.4200,-0.7100,1.0748,1.0748
0.4300,-0.7200,1.0783,1.0783
0.4400,-0.7300,1.0821,1.0821
0.4400,-0.7400,1.0772,1.0772
0.4500,-0.7500,1.0812,1.0812
0.4600,-0.7600,1.0812,1.0812
0.4600,-0.7700,1.0807,1.0807
0.4700,-0.7800,1.0821,1.0821
0.4700,-0.7900,1.0807,1.0807
0.4800,-0.8000,1.0834,1.0834
0.4900,-0.8100,1.0799,1.0799
0.5000,-0.8200,1.0766,1.0766
0.5000,-0.8300,1.0819,1.0819
0.5100,-0.8400,1.0789,1.0789
0.5200,-0.8500,1.0760,1.0760
0.5200,-0.8600,1.0815,1.0815
0.5300,-0.8700,1.0789,1.0789
0.5400,-0.8800,1.0764,1.0764
0.5400,-0.8900,1.0822,1.0822
0.5500,-0.9000,1.0800,1.0800
0.5600,-0.9100,1.0772,1.0772
0.5700,-0.9200,1.0734,1.0734
0.5700,-0.9300,1.0783,1.0783
0.5800,-0.9400,1.0748,1.0748
0.5900,-0.9500,1.0714,1.0714
0.6000,-0.9600,1.0681,1.0681
0.6000,-0.9700,1.0735,1.0735
0.6100,-0.9800,1.0705,1.0705
0.6100,-0.9900,1.0760,1.0760
0.6200,-1.0000,1.0732,1.0732
0.6300,-1.0100,1.0707,1.0707
0.6400,-1.0200,1.0683,1.0683
0.6400,-1.0300,1.0741,1.0741
0.6500,-1.0400,1.0720,1.0720
0.6600,-1.0500,1.0700,1.0700
0.6600,-1.0600,1.0761,1.0761
0.6700,-1.0700,1.0734,1.0734
0.6800,-1.0800,1.0697,1.0697
0.6800,-1.0900,1.0748,1.0748
0.6900,-1.1000,1.0714,1.0714
0.7000,-1.1100,1.0681,1.0681
0.7100,-1.1200,1.0650,1.0650
0.7200,-1.1300,1.0621,1.0621
0.7200,-1.1400,1.0676,1.0676
0.7300,-1.1500,1.0636,1.0636
0.7400,-1.1600,1.0597,1.0597
0.7500,-1.1700,1.0560,1.0560
0.7500,-1.1800,1.0611,1.0611
0.7600,-1.1900,1.0576,1.0576
0.7700,-1.2000,1.0543,1.0543
0.7700,-1.2100,1.0597,1.0597
0.7800,-1.2200,1.0566,1.0566
0.7900,-1.2300,1.0538,1.0538
0.7900,-1.2400,1.0594,1.0594
0.8000,-1.2500,1.0568,1.0568
0.8100,-1.2600,1.0543,1.0543
0.8200,-1.2700,1.0521,1.0521
0.8200,-1.2800,1.0580,1.0580
0.8300,-1.2900,1.0560,1.0560
0.8400,-1.3000,1.0542,1.0542
0.8500,-1.3100,1.0526,1.0526
0.8500,-1.3200,1.0588,1.0588
0.8600,-1.3300,1.0575,1.0575
0.8700,-1.3400,1.0560,1.0560
0.8700,-1.3500,1.0621,1.0621
0.8800,-1.3600,1.0604,1.0604
0.8900,-1.3700,1.0588,1.0588
0.9000,-1.3800,1.0575,1.0575
0.9100,-1.3900,1.0562,1.0562
0.9100,-1.4000,1.0628,1.0628
0.9200,-1.4100,1.0618,1.0618
0.9300,-1.4200,1.0610,1.0610
0.9400,-1.4300,1.0604,1.0604
0.9500,-1.4400,1.0600,1.0600
0.9500,-1.4500,1.0667,1.0667
0.9600,-1.4600,1.0667,1.0667
0.9700,-1.4700,1.0667,1.0667
0.9800,-1.4800,1.0667,1.0667
0.9900,-1.4900,1.0667,1.0667
0.9900,-1.5000,1.0618,1.0618
1.0000,-1.5100,1.0628,1.0628
1.0100,-1.5200,1.0639,1.0639
1.0200,-1.5300,1.0652,1.0652
1.0300,-1.5400,1.0666,1.0666
1.0400,-1.5500,1.0682,1.0682
1.0500,-1.5600,1.0700,1.0700
1.0600,-1.5700,1.0720,1.0720
1.0700,-1.5800,1.0738,1.0738
1.0800,-1.5900,1.0739,1.0739
1.0900,-1.6000,1.0741,1.0741
