x,y,w_right,w_left
0.7400,3.1600,2.0000,2.0000
0.7390,3.2857,2.0000,2.0000
0.7361,3.4113,2.0000,2.0000
0.7311,3.5369,2.0000,2.0000
0.7242,3.6623,2.0000,2.0000
0.7153,3.7877,2.0000,2.0000
0.7045,3.9129,2.0000,2.0000
0.6917,4.0379,2.0000,2.0000
0.6769,4.1627,2.0000,2.0000
0.6602,4.2872,2.0000,2.0000
0.6415,4.4115,2.0000,2.0000
0.6209,4.5354,2.0000,2.0000
0.5983,4.6591,2.0000,2.0000
0.5738,4.7823,2.0000,2.0000
0.5473,4.9051,2.0000,2.0000
0.5190,5.0276,2.0000,2.0000
0.4887,5.1495,2.0000,2.0000
0.4565,5.2710,2.0000,2.0000
0.4223,5.3919,2.0000,2.0000
0.3863,5.5123,2.0000,2.0000
0.3485,5.6321,2.0000,2.0000
0.3087,5.7513,2.0000,2.0000
0.2670,5.8699,2.0000,2.0000
0.2236,5.9878,2.0000,2.0000
0.1782,6.1050,2.0000,2.0000
0.1310,6.2215,2.0000,2.0000
0.0820,6.3372,2.0000,2.0000
0.0312,6.4521,2.0000,2.0000
-0.0214,6.5662,2.0000,2.0000
-0.0758,6.6795,2.0000,2.0000
-0.1319,6.7919,2.0000,2.0000
-0.1899,6.9034,2.0000,2.0000
-0.2495,7.0140,2.0000,2.0000
-0.3109,7.1237,2.0000,2.0000
-0.3741,7.2323,2.0000,2.0000
-0.4389,7.3400,2.0000,2.0000
-0.5054,7.4466,2.0000,2.0000
-0.5735,7.5522,2.0000,2.0000
-0.6434,7.6567,2.0000,2.0000
-0.7148,7.7600,2.0000,2.0000
-0.7879,7.8623,2.0000,2.0000
-0.8625,7.9634,2.0000,2.0000
-0.9388,8.0633,2.0000,2.0000
-1.0166,8.1619,2.0000,2.0000
-1.0959,8.2594,2.0000,2.0000
-1.1768,8.3556,2.0000,2.0000
-1.2591,8.4505,2.0000,2.0000
-1.3430,8.5441,2.0000,2.0000
-1.4283,8.6364,2.0000,2.0000
-1.5150,8.7273,2.0000,2.0000
-1.6031,8.8169,2.0000,2.0000
-1.6927,8.9050,2.0000,2.0000
-1.7836,8.9917,2.0000,2.0000
-1.8759,9.0770,2.0000,2.0000
-1.9695,9.1609,2.0000,2.0000
-2.0644,9.2432,2.0000,2.0000
-2.1606,9.3241,2.0000,2.0000
-2.2581,9.4034,2.0000,2.0000
-2.3567,9.4812,2.0000,2.0000
-2.4566,9.5575,2.0000,2.0000
-2.5577,9.6321,2.0000,2.0000
-2.6600,9.7052,2.0000,2.0000
-2.7633,9.7766,2.0000,2.0000
-2.8678,9.8465,2.0000,2.0000
-2.9734,9.9146,2.0000,2.0000
-3.0800,9.9811,2.0000,2.0000
-3.1877,10.0459,2.0000,2.0000
-3.2963,10.1091,2.0000,2.0000
-3.4060,10.1705,2.0000,2.0000
-3.5166,10.2301,2.0000,2.0000
-3.6281,10.2881,2.0000,2.0000
-3.7405,10.3442,2.0000,2.0000
-3.8538,10.3986,2.0000,2.0000
-3.9679,10.4512,2.0000,2.0000
-4.0828,10.5020,2.0000,2.0000
-4.1985,10.5510,2.0000,2.0000
-4.3150,10.5982,2.0000,2.0000
-4.4322,10.6436,2.0000,2.0000
-4.5501,10.6870,2.0000,2.0000
-4.6687,10.7287,2.0000,2.0000
